,User,listed_count,followers_count,text,retweets,favorites
111,ConsumerRumor,7,346,RT @CharlieHackett8: Bombshell new reporting finally gets to the bottom of Melania Trump’s immigration story. https://t.co/s0JwcRrmG2 via @…,3,0
112,BradleyHobbs7,52,1406,RT @NewtTrump: NAILED IT: Compare Trump's rhetoric and actions vs. those of the left-wingers protesting him—it's clear he's a unifier and t…,206,0
113,NickyNicoleSki,0,32,RT @RogueNASA: A US-born NASA scientist was detained at the border until he unlocked his phone https://t.co/rdby6A8xN3,2769,0
114,VincentHearne,193,764,"RT @LLaws2: Alabama immigration: crops rot as workers vanish to avoid crackdown https://t.co/2Qy7VAMEAy Trump's discrimination costs crops,…",3,0
115,Violet_Boregard,15,148,RT @Breznican: BREAKING: Trump advisor Stephen Miller confirms it rubs the lotion on its skin or else it gets the hose again. https://t.co/…,1908,0
116,alpine1290,7,165,RT @Slate: Trump’s making a mess of foreign policy and has no one to clean up after him: https://t.co/FFqTSHWWZi https://t.co/TWeWUCnyeF,40,0
117,KathyObear,31,1381,RT @TCFdotorg: Will Trump's corporate tax reform plan lead to cutting of social programs that keep millions of Americans afloat? https://t.…,1,0
118,mark11_15,11,324,"RT @mtracey: As an act of resistance, David Frum bought socks from the Nordstrom website on the day that Trump tweeted about them. I'm not…",81,0
119,elsolde_mexico,809,45441,"#EnImagenes📸  #MarchaVsTrump 
Policía de la #CDMX y efectivos de Protección dan atención y resguardo a manifestante… https://t.co/f9rvAP2vjU",0,0
120,TeamResist_NOW,1,43,I Would Rather Have My Eyeballs Ripped Out My Sockets With A Flaming Hot Pitchfork Than Go Bck &amp; Forth With These BRAINLESS Trump Supporters,0,0
121,ngtwome,61,1831,"RT @marianaatencio: Some Mexicans comparing Trump to Hitler with twitter: The 'Twitler,' during Anti-Trump rally in Mexico #VibraMexico @NB…",79,0
122,fiercelybdavis,73,999,RT @Variety: Newspaper accidentally uses Alec Baldwin photo instead of Donald Trump https://t.co/Y3po2EBjjg,706,0
123,JackSussek,75,9362,"Well, so much for George Washington. Trump's ambition is to be the 'Big Daddy of the Country.' More like the Big Fu… https://t.co/cLRM3xC2Bj",0,0
124,osakwe19,1,14,Chris Christie: The repeal of Obamacare shouldn't cause Americans to lose coverage https://t.co/BewcQ65baK https... by #CNN via @c0nvey,0,0
125,AndrezE,25,196,RT @BeauWillimon: From a friend in Mexico City. Big March there today to #resist Trump. Gracias! https://t.co/OON7azVA1G,14,0
126,gecko39,299,1525,"Global System Transition Beyond Carbon, Endless Growth, Consumerism... Serving People &amp; Planet 
by @NafeezAhmed 
https://t.co/7b7dJ7Ay4W",0,0
127,HelenLeblique,12,283,RT @simon_schama: The Spy Revolt Against Trump Begins https://t.co/1PJPdd7UND. extraordinary article,65,0
128,Jonwahizzle,21,440,"RT @PatrickZircher: Side note: Is this guy the coolest fucking scientist you've ever seen or what?
 https://t.co/nQStFMuAhC via @Verge",1,0
129,getcoachlee,143,12377,RT @KyleKulinski: Trump's FCC has net neutrality in its crosshairs. https://t.co/oIO7inJ7hg,14,0
130,tellmymemories,17,387,Did Trump instruct Flynn to talk to the Russians? https://t.co/d5mfMlUzLG,0,0
131,DraneSpout,9,186,RT @ZaibatsuNews: Conservative pundit: Trump only uses ‘cringe-worthy’ surrogates because no one else will lie for him https://t.co/X6usrJ6…,27,0
132,NefariousNewt,131,3283,RT @JuddLegum: 1. Absolutely stunning interviews by @EricLiptonNYT w/Don Jr. and Eric about how they are running the Trump Org. https://t.c…,70,0
133,richardetorres,6,123,RT @BldyMry: Ya Trump sabe quién es la Cadete Yulin... https://t.co/yfl0jt3ZsP,21,0
134,muhlama1,8,1655,"RT @abdullahciftcib: 4-Trump'un danışmanı Steve Bannon ""5-10 yıl içerisinde Çin ile kesinlikle savaşa gireceği"" açıklamasını yaptı.
ABD ile…",128,0
135,Sensata2014,11,924,"@DavidGMcAfee @realDonaldTrump send this to everyone you know and spread the word, even with King trump, there are laws they must follow.",0,0
136,martintisne,332,4955,"""Tyrants don’t care if you believe them, they just want you to succumb to doubt"" https://t.co/VYViAHJp0c by @maassp",0,0
137,kling_r,3,51,"RT @bocavista2016: DEMS

REFUSE to remove DEAD PEOPLE from voter lists?

Why?
https://t.co/RYGiI1253X
#MAGA #Trump
Stephen Miller #AMJoy #C…",326,0
138,grancesshecho11,0,4,RT @Impeach_D_Trump: Civil Rights Challenges to Trump Immigration/Refugee Orders Pile Up!! https://t.co/lbsoa9ftNU,218,0
